date,store_id,city,sku_id,power_cluster,predicted_demand,confidence_score,lower_bound,upper_bound
2023-07-07,STORE_026,Hyderabad,SKU_108,medium,1.76,0.55,1.22,2.3
2023-07-01,STORE_044,Jaipur,SKU_114,high,2.56,0.8,2.26,2.86
2023-07-02,STORE_044,Jaipur,SKU_114,high,2.56,0.38,1.44,3.68
2023-07-03,STORE_044,Jaipur,SKU_114,high,2.27,0.69,1.82,2.72
2023-07-04,STORE_044,Jaipur,SKU_114,high,2.27,0.78,1.97,2.57
2023-07-05,STORE_044,Jaipur,SKU_114,high,2.27,0.61,1.68,2.86
2023-07-06,STORE_044,Jaipur,SKU_114,high,2.27,0.87,2.13,2.41
2023-07-07,STORE_044,Jaipur,SKU_114,high,2.27,0.32,1.17,3.37
2023-07-01,STORE_005,Mumbai,SKU_087,high,13.76,0.82,12.44,15.08
2023-07-02,STORE_005,Mumbai,SKU_087,high,13.74,0.83,12.49,14.99
2023-07-03,STORE_005,Mumbai,SKU_087,high,10.54,0.47,6.63,14.45
2023-07-04,STORE_005,Mumbai,SKU_087,high,10.54,0.89,10.08,11.0
2023-07-05,STORE_005,Mumbai,SKU_087,high,10.54,0.44,6.42,14.66
2023-07-06,STORE_005,Mumbai,SKU_087,high,10.53,0.55,7.27,13.79
2023-07-07,STORE_005,Mumbai,SKU_087,high,10.53,0.76,9.0,12.06
2023-07-01,STORE_033,Kolkata,SKU_146,very_high,2.8,0.33,1.47,4.13
2023-07-02,STORE_033,Kolkata,SKU_146,very_high,2.8,0.88,2.64,2.96
2023-07-03,STORE_033,Kolkata,SKU_146,very_high,2.44,0.56,1.71,3.17
2023-07-04,STORE_033,Kolkata,SKU_146,very_high,2.44,0.89,2.32,2.56
2023-07-05,STORE_033,Kolkata,SKU_146,very_high,2.44,0.73,2.02,2.86
2023-07-06,STORE_033,Kolkata,SKU_146,very_high,2.44,0.51,1.61,3.27
2023-07-07,STORE_033,Kolkata,SKU_146,very_high,2.44,0.84,2.23,2.65
2023-07-01,STORE_044,Jaipur,SKU_088,very_high,1.87,0.65,1.44,2.3
2023-07-02,STORE_044,Jaipur,SKU_088,very_high,1.87,0.8,1.65,2.09
2023-07-03,STORE_044,Jaipur,SKU_088,very_high,1.7,0.9,1.63,1.77
2023-07-04,STORE_044,Jaipur,SKU_088,very_high,1.7,0.83,1.54,1.86
2023-07-05,STORE_044,Jaipur,SKU_088,very_high,1.7,0.58,1.22,2.18
2023-07-06,STORE_044,Jaipur,SKU_088,very_high,1.69,0.42,1.0,2.38
2023-07-07,STORE_044,Jaipur,SKU_088,very_high,1.69,0.94,1.68,1.7
2023-07-01,STORE_037,Pune,SKU_194,medium,10.37,0.51,6.89,13.85
2023-07-02,STORE_037,Pune,SKU_194,medium,10.35,0.43,6.18,14.52
2023-07-03,STORE_037,Pune,SKU_194,medium,8.0,0.83,7.24,8.76
2023-07-04,STORE_037,Pune,SKU_194,medium,8.0,0.48,5.11,10.89
2023-07-05,STORE_037,Pune,SKU_194,medium,8.0,0.69,6.41,9.59
2023-07-06,STORE_037,Pune,SKU_194,medium,8.02,0.91,7.78,8.26
2023-07-07,STORE_037,Pune,SKU_194,medium,8.02,0.58,5.73,10.31
2023-07-01,STORE_016,Bangalore,SKU_126,low,3.77,0.35,2.02,5.52
2023-07-02,STORE_016,Bangalore,SKU_126,low,3.77,0.37,2.09,5.45
2023-07-03,STORE_016,Bangalore,SKU_126,low,3.06,0.76,2.61,3.51
2023-07-04,STORE_016,Bangalore,SKU_126,low,3.06,0.68,2.42,3.7
2023-07-05,STORE_016,Bangalore,SKU_126,low,3.06,0.78,2.67,3.45
2023-07-06,STORE_016,Bangalore,SKU_126,low,3.06,0.91,2.96,3.16
2023-07-07,STORE_016,Bangalore,SKU_126,low,3.06,0.95,3.05,3.07
2023-07-01,STORE_032,Kolkata,SKU_174,high,10.55,0.4,6.11,14.99
2023-07-02,STORE_032,Kolkata,SKU_174,high,10.54,0.57,7.48,13.6
2023-07-03,STORE_032,Kolkata,SKU_174,high,8.2,0.91,7.96,8.44
2023-07-04,STORE_032,Kolkata,SKU_174,high,8.2,0.54,5.64,10.76
2023-07-05,STORE_032,Kolkata,SKU_174,high,8.2,0.76,6.98,9.42
2023-07-06,STORE_032,Kolkata,SKU_174,high,8.27,0.4,4.77,11.77
2023-07-07,STORE_032,Kolkata,SKU_174,high,8.27,0.75,6.98,9.56
2023-07-01,STORE_022,Hyderabad,SKU_009,low,2.66,0.47,1.68,3.64
2023-07-02,STORE_022,Hyderabad,SKU_009,low,2.66,0.94,2.64,2.68
2023-07-03,STORE_022,Hyderabad,SKU_009,low,2.32,0.73,1.93,2.71
2023-07-04,STORE_022,Hyderabad,SKU_009,low,2.32,0.9,2.23,2.41
2023-07-05,STORE_022,Hyderabad,SKU_009,low,2.32,0.93,2.29,2.35
2023-07-06,STORE_022,Hyderabad,SKU_009,low,2.31,0.62,1.73,2.89
2023-07-07,STORE_022,Hyderabad,SKU_009,low,2.31,0.92,2.25,2.37
2023-07-01,STORE_020,Bangalore,SKU_168,very_high,4.89,0.31,2.47,7.31
2023-07-02,STORE_020,Bangalore,SKU_168,very_high,4.89,0.65,3.77,6.01
2023-07-03,STORE_020,Bangalore,SKU_168,very_high,3.93,0.63,2.96,4.9
2023-07-04,STORE_020,Bangalore,SKU_168,very_high,3.93,0.94,3.91,3.95
2023-07-05,STORE_020,Bangalore,SKU_168,very_high,3.93,0.81,3.49,4.37
2023-07-06,STORE_020,Bangalore,SKU_168,very_high,3.93,0.38,2.19,5.67
2023-07-07,STORE_020,Bangalore,SKU_168,very_high,3.93,0.76,3.37,4.49
2023-07-01,STORE_008,Mumbai,SKU_150,high,14.46,0.74,12.12,16.8
2023-07-02,STORE_008,Mumbai,SKU_150,high,14.44,0.46,8.96,19.92
2023-07-03,STORE_008,Mumbai,SKU_150,high,11.42,0.85,10.53,12.31
2023-07-04,STORE_008,Mumbai,SKU_150,high,11.42,0.78,9.93,12.91
2023-07-05,STORE_008,Mumbai,SKU_150,high,11.42,0.31,5.81,17.03
2023-07-06,STORE_008,Mumbai,SKU_150,high,11.41,0.91,11.02,11.8
2023-07-07,STORE_008,Mumbai,SKU_150,high,11.41,0.4,6.6,16.22
2023-07-01,STORE_032,Kolkata,SKU_147,very_high,11.14,0.54,7.6,14.68
2023-07-02,STORE_032,Kolkata,SKU_147,very_high,11.13,0.31,5.67,16.59
2023-07-03,STORE_032,Kolkata,SKU_147,very_high,8.55,0.8,7.59,9.51
2023-07-04,STORE_032,Kolkata,SKU_147,very_high,8.55,0.65,6.57,10.53
2023-07-05,STORE_032,Kolkata,SKU_147,very_high,8.55,0.69,6.83,10.27
2023-07-06,STORE_032,Kolkata,SKU_147,very_high,8.61,0.68,6.84,10.38
2023-07-07,STORE_032,Kolkata,SKU_147,very_high,8.61,0.91,8.34,8.88
2023-07-01,STORE_025,Hyderabad,SKU_096,medium,6.38,0.36,3.5,9.26
2023-07-02,STORE_025,Hyderabad,SKU_096,medium,6.36,0.67,4.99,7.73
2023-07-03,STORE_025,Hyderabad,SKU_096,medium,5.07,0.48,3.25,6.89
2023-07-04,STORE_025,Hyderabad,SKU_096,medium,5.07,0.72,4.16,5.98
2023-07-05,STORE_025,Hyderabad,SKU_096,medium,5.07,0.36,2.77,7.37
2023-07-06,STORE_025,Hyderabad,SKU_096,medium,5.13,0.69,4.09,6.17
2023-07-07,STORE_025,Hyderabad,SKU_096,medium,5.13,0.83,4.65,5.61
2023-07-01,STORE_019,Bangalore,SKU_150,very_high,12.7,0.75,10.76,14.64
2023-07-02,STORE_019,Bangalore,SKU_150,very_high,12.69,0.54,8.73,16.65
2023-07-03,STORE_019,Bangalore,SKU_150,very_high,10.18,0.64,7.75,12.61
2023-07-04,STORE_019,Bangalore,SKU_150,very_high,10.18,0.36,5.54,14.82
2023-07-05,STORE_019,Bangalore,SKU_150,very_high,10.18,0.31,5.14,15.22
2023-07-06,STORE_019,Bangalore,SKU_150,very_high,10.17,0.6,7.42,12.92
2023-07-07,STORE_019,Bangalore,SKU_150,very_high,10.17,0.64,7.71,12.63
2023-07-01,STORE_013,Delhi,SKU_080,medium,4.9,0.95,4.89,4.91
2023-07-02,STORE_013,Delhi,SKU_080,medium,4.9,0.39,2.79,7.01
2023-07-03,STORE_013,Delhi,SKU_080,medium,3.87,0.68,3.06,4.68
2023-07-04,STORE_013,Delhi,SKU_080,medium,3.87,0.79,3.39,4.35
2023-07-05,STORE_013,Delhi,SKU_080,medium,3.87,0.59,2.81,4.93
2023-07-06,STORE_013,Delhi,SKU_080,medium,3.9,0.55,2.69,5.11
2023-07-07,STORE_013,Delhi,SKU_080,medium,3.9,0.72,3.2,4.6
2023-07-01,STORE_039,Ahmedabad,SKU_136,very_high,9.99,0.46,6.2,13.78
2023-07-02,STORE_039,Ahmedabad,SKU_136,very_high,9.97,0.85,9.23,10.71
2023-07-03,STORE_039,Ahmedabad,SKU_136,very_high,7.62,0.38,4.28,10.96
2023-07-04,STORE_039,Ahmedabad,SKU_136,very_high,7.62,0.89,7.25,7.99
2023-07-05,STORE_039,Ahmedabad,SKU_136,very_high,7.62,0.88,7.2,8.04
2023-07-06,STORE_039,Ahmedabad,SKU_136,very_high,7.7,0.86,7.16,8.24
2023-07-07,STORE_039,Ahmedabad,SKU_136,very_high,7.7,0.71,6.27,9.13
2023-07-01,STORE_016,Bangalore,SKU_195,high,13.02,0.71,10.65,15.39
2023-07-02,STORE_016,Bangalore,SKU_195,high,13.0,0.76,11.13,14.87
2023-07-03,STORE_016,Bangalore,SKU_195,high,10.27,0.62,7.68,12.86
2023-07-04,STORE_016,Bangalore,SKU_195,high,10.27,0.38,5.75,14.79
2023-07-05,STORE_016,Bangalore,SKU_195,high,10.27,0.82,9.22,11.32
2023-07-06,STORE_016,Bangalore,SKU_195,high,10.26,0.31,5.17,15.35
2023-07-07,STORE_016,Bangalore,SKU_195,high,10.26,0.71,8.33,12.19
2023-07-01,STORE_021,Bangalore,SKU_170,high,14.06,0.31,7.15,20.97
2023-07-02,STORE_021,Bangalore,SKU_170,high,14.06,0.43,8.45,19.67
2023-07-03,STORE_021,Bangalore,SKU_170,high,11.01,0.31,5.56,16.46
2023-07-04,STORE_021,Bangalore,SKU_170,high,11.01,0.86,10.24,11.78
2023-07-05,STORE_021,Bangalore,SKU_170,high,11.01,0.66,8.53,13.49
2023-07-06,STORE_021,Bangalore,SKU_170,high,11.0,0.77,9.46,12.54
2023-07-07,STORE_021,Bangalore,SKU_170,high,11.0,0.57,7.75,14.25
2023-07-01,STORE_003,Mumbai,SKU_013,very_high,14.12,0.46,8.76,19.48
2023-07-02,STORE_003,Mumbai,SKU_013,very_high,14.1,0.53,9.54,18.66
2023-07-03,STORE_003,Mumbai,SKU_013,very_high,10.92,0.35,5.89,15.95
2023-07-04,STORE_003,Mumbai,SKU_013,very_high,10.92,0.72,9.03,12.81
2023-07-05,STORE_003,Mumbai,SKU_013,very_high,10.92,0.54,7.51,14.33
2023-07-06,STORE_003,Mumbai,SKU_013,very_high,10.91,0.4,6.31,15.51
2023-07-07,STORE_003,Mumbai,SKU_013,very_high,10.91,0.58,7.83,13.99
2023-07-01,STORE_042,Jaipur,SKU_051,low,2.56,0.94,2.54,2.58
2023-07-02,STORE_042,Jaipur,SKU_051,low,2.56,0.52,1.71,3.41
2023-07-03,STORE_042,Jaipur,SKU_051,low,2.27,0.78,1.97,2.57
2023-07-04,STORE_042,Jaipur,SKU_051,low,2.27,0.36,1.24,3.3
2023-07-05,STORE_042,Jaipur,SKU_051,low,2.27,0.48,1.46,3.08
2023-07-06,STORE_042,Jaipur,SKU_051,low,2.27,0.33,1.19,3.35
2023-07-07,STORE_042,Jaipur,SKU_051,low,2.27,0.89,2.16,2.38
2023-07-01,STORE_015,Delhi,SKU_095,high,14.46,0.65,11.08,17.84
2023-07-02,STORE_015,Delhi,SKU_095,high,14.44,0.76,12.35,16.53
2023-07-03,STORE_015,Delhi,SKU_095,high,11.42,0.34,6.05,16.79
2023-07-04,STORE_015,Delhi,SKU_095,high,11.42,0.62,8.49,14.35
2023-07-05,STORE_015,Delhi,SKU_095,high,11.42,0.36,6.27,16.57
2023-07-06,STORE_015,Delhi,SKU_095,high,11.41,0.85,10.57,12.25
2023-07-07,STORE_015,Delhi,SKU_095,high,11.41,0.65,8.75,14.07
2023-07-01,STORE_028,Chennai,SKU_061,low,6.44,0.51,4.25,8.63
2023-07-02,STORE_028,Chennai,SKU_061,low,6.44,0.45,3.95,8.93
2023-07-03,STORE_028,Chennai,SKU_061,low,4.84,0.79,4.23,5.45
2023-07-04,STORE_028,Chennai,SKU_061,low,4.84,0.88,4.58,5.1
2023-07-05,STORE_028,Chennai,SKU_061,low,4.84,0.9,4.66,5.02
2023-07-06,STORE_028,Chennai,SKU_061,low,4.88,0.76,4.19,5.57
2023-07-07,STORE_028,Chennai,SKU_061,low,4.88,0.61,3.62,6.14
2023-07-01,STORE_010,Delhi,SKU_089,high,2.88,0.76,2.47,3.29
2023-07-02,STORE_010,Delhi,SKU_089,high,2.88,0.55,1.98,3.78
2023-07-03,STORE_010,Delhi,SKU_089,high,2.46,0.82,2.22,2.7
2023-07-04,STORE_010,Delhi,SKU_089,high,2.46,0.37,1.36,3.56
2023-07-05,STORE_010,Delhi,SKU_089,high,2.46,0.44,1.49,3.43
2023-07-06,STORE_010,Delhi,SKU_089,high,2.49,0.38,1.4,3.58
2023-07-07,STORE_010,Delhi,SKU_089,high,2.49,0.34,1.33,3.65
2023-07-01,STORE_014,Delhi,SKU_198,high,7.52,0.93,7.38,7.66
2023-07-02,STORE_014,Delhi,SKU_198,high,7.5,0.91,7.27,7.73
2023-07-03,STORE_014,Delhi,SKU_198,high,5.88,0.4,3.38,8.38
2023-07-04,STORE_014,Delhi,SKU_198,high,5.88,0.8,5.2,6.56
2023-07-05,STORE_014,Delhi,SKU_198,high,5.88,0.41,3.45,8.31
2023-07-06,STORE_014,Delhi,SKU_198,high,5.93,0.82,5.32,6.54
2023-07-07,STORE_014,Delhi,SKU_198,high,5.93,0.66,4.6,7.26
2023-07-01,STORE_028,Chennai,SKU_069,medium,22.06,0.86,20.5,23.62
2023-07-02,STORE_028,Chennai,SKU_069,medium,22.06,0.45,13.51,30.61
2023-07-03,STORE_028,Chennai,SKU_069,medium,17.54,0.78,15.2,19.88
2023-07-04,STORE_028,Chennai,SKU_069,medium,17.66,0.48,11.25,24.07
2023-07-05,STORE_028,Chennai,SKU_069,medium,17.66,0.63,13.33,21.99
2023-07-06,STORE_028,Chennai,SKU_069,medium,17.99,0.56,12.62,23.36
2023-07-07,STORE_028,Chennai,SKU_069,medium,17.99,0.63,13.52,22.46
2023-07-01,STORE_038,Ahmedabad,SKU_056,medium,6.48,0.92,6.33,6.63
2023-07-02,STORE_038,Ahmedabad,SKU_056,medium,6.48,0.34,3.45,9.51
2023-07-03,STORE_038,Ahmedabad,SKU_056,medium,4.93,0.67,3.85,6.01
2023-07-04,STORE_038,Ahmedabad,SKU_056,medium,4.93,0.52,3.3,6.56
2023-07-05,STORE_038,Ahmedabad,SKU_056,medium,4.93,0.77,4.26,5.6
2023-07-06,STORE_038,Ahmedabad,SKU_056,medium,4.95,0.51,3.29,6.61
2023-07-07,STORE_038,Ahmedabad,SKU_056,medium,4.95,0.6,3.62,6.28
2023-07-01,STORE_039,Ahmedabad,SKU_179,medium,25.05,0.51,16.56,33.54
2023-07-02,STORE_039,Ahmedabad,SKU_179,medium,25.05,0.34,13.32,36.78
2023-07-03,STORE_039,Ahmedabad,SKU_179,medium,20.91,0.66,16.27,25.55
2023-07-04,STORE_039,Ahmedabad,SKU_179,medium,20.91,0.51,13.77,28.05
2023-07-05,STORE_039,Ahmedabad,SKU_179,medium,20.91,0.57,14.79,27.03
2023-07-06,STORE_039,Ahmedabad,SKU_179,medium,21.08,0.94,20.95,21.21
2023-07-07,STORE_039,Ahmedabad,SKU_179,medium,20.95,0.57,14.75,27.15
2023-07-01,STORE_047,Lucknow,SKU_058,medium,7.49,0.31,3.79,11.19
2023-07-02,STORE_047,Lucknow,SKU_058,medium,7.47,0.66,5.81,9.13
2023-07-03,STORE_047,Lucknow,SKU_058,medium,5.88,0.79,5.14,6.62
2023-07-04,STORE_047,Lucknow,SKU_058,medium,5.88,0.64,4.46,7.3
2023-07-05,STORE_047,Lucknow,SKU_058,medium,5.88,0.81,5.23,6.53
2023-07-06,STORE_047,Lucknow,SKU_058,medium,5.92,0.83,5.39,6.45
2023-07-07,STORE_047,Lucknow,SKU_058,medium,5.92,0.59,4.28,7.56
2023-07-01,STORE_013,Delhi,SKU_124,high,15.6,0.7,12.55,18.65
2023-07-02,STORE_013,Delhi,SKU_124,high,15.6,0.65,11.96,19.24
2023-07-03,STORE_013,Delhi,SKU_124,high,12.05,0.44,7.31,16.79
2023-07-04,STORE_013,Delhi,SKU_124,high,12.05,0.64,9.13,14.97
2023-07-05,STORE_013,Delhi,SKU_124,high,12.05,0.75,10.21,13.89
2023-07-06,STORE_013,Delhi,SKU_124,high,12.03,0.79,10.53,13.53
2023-07-07,STORE_013,Delhi,SKU_124,high,12.03,0.53,8.19,15.87
2023-07-01,STORE_030,Chennai,SKU_069,very_high,20.96,0.52,14.07,27.85
2023-07-02,STORE_030,Chennai,SKU_069,very_high,20.96,0.74,17.5,24.42
2023-07-03,STORE_030,Chennai,SKU_069,very_high,16.05,0.73,13.29,18.81
2023-07-04,STORE_030,Chennai,SKU_069,very_high,16.16,0.56,11.34,20.98
2023-07-05,STORE_030,Chennai,SKU_069,very_high,16.16,0.48,10.38,21.94
2023-07-06,STORE_030,Chennai,SKU_069,very_high,16.18,0.82,14.53,17.83
2023-07-07,STORE_030,Chennai,SKU_069,very_high,16.18,0.49,10.48,21.88
2023-07-01,STORE_040,Ahmedabad,SKU_027,very_high,17.28,0.35,9.3,25.26
2023-07-02,STORE_040,Ahmedabad,SKU_027,very_high,17.27,0.82,15.56,18.98
2023-07-03,STORE_040,Ahmedabad,SKU_027,very_high,13.27,0.7,10.73,15.81
2023-07-04,STORE_040,Ahmedabad,SKU_027,very_high,13.27,0.45,8.17,18.37
2023-07-05,STORE_040,Ahmedabad,SKU_027,very_high,13.27,0.83,12.03,14.51
2023-07-06,STORE_040,Ahmedabad,SKU_027,very_high,13.29,0.37,7.38,19.2
2023-07-07,STORE_040,Ahmedabad,SKU_027,very_high,13.29,0.77,11.43,15.15
2023-07-01,STORE_028,Chennai,SKU_124,very_high,16.42,0.61,12.18,20.66
2023-07-02,STORE_028,Chennai,SKU_124,very_high,16.4,0.59,11.81,20.99
2023-07-03,STORE_028,Chennai,SKU_124,very_high,12.59,0.5,8.24,16.94
2023-07-04,STORE_028,Chennai,SKU_124,very_high,12.59,0.63,9.45,15.73
2023-07-05,STORE_028,Chennai,SKU_124,very_high,12.59,0.79,11.07,14.11
2023-07-06,STORE_028,Chennai,SKU_124,very_high,12.62,0.63,9.48,15.76
2023-07-07,STORE_028,Chennai,SKU_124,very_high,12.62,0.66,9.82,15.42
2023-07-01,STORE_023,Hyderabad,SKU_143,medium,3.74,0.52,2.49,4.99
2023-07-02,STORE_023,Hyderabad,SKU_143,medium,3.74,0.66,2.89,4.59
2023-07-03,STORE_023,Hyderabad,SKU_143,medium,3.04,0.83,2.77,3.31
2023-07-04,STORE_023,Hyderabad,SKU_143,medium,3.04,0.43,1.83,4.25
2023-07-05,STORE_023,Hyderabad,SKU_143,medium,3.04,0.52,2.04,4.04
2023-07-06,STORE_023,Hyderabad,SKU_143,medium,3.04,0.35,1.65,4.43
2023-07-07,STORE_023,Hyderabad,SKU_143,medium,3.04,0.7,2.45,3.63
2023-07-01,STORE_021,Bangalore,SKU_021,very_high,6.46,0.93,6.35,6.57
2023-07-02,STORE_021,Bangalore,SKU_021,very_high,6.46,0.64,4.93,7.99
2023-07-03,STORE_021,Bangalore,SKU_021,very_high,4.89,0.43,2.93,6.85
2023-07-04,STORE_021,Bangalore,SKU_021,very_high,4.89,0.8,4.33,5.45
2023-07-05,STORE_021,Bangalore,SKU_021,very_high,4.89,0.84,4.47,5.31
2023-07-06,STORE_021,Bangalore,SKU_021,very_high,4.9,0.36,2.66,7.14
2023-07-07,STORE_021,Bangalore,SKU_021,very_high,4.9,0.84,4.5,5.3
2023-07-01,STORE_032,Kolkata,SKU_038,medium,4.89,0.49,3.14,6.64
2023-07-02,STORE_032,Kolkata,SKU_038,medium,4.89,0.43,2.93,6.85
2023-07-03,STORE_032,Kolkata,SKU_038,medium,3.93,0.41,2.29,5.57
2023-07-04,STORE_032,Kolkata,SKU_038,medium,3.93,0.78,3.4,4.46
2023-07-05,STORE_032,Kolkata,SKU_038,medium,3.93,0.41,2.31,5.55
2023-07-06,STORE_032,Kolkata,SKU_038,medium,3.93,0.91,3.81,4.05
2023-07-07,STORE_032,Kolkata,SKU_038,medium,3.93,0.91,3.8,4.06
2023-07-01,STORE_041,Jaipur,SKU_072,high,2.56,0.63,1.94,3.18
2023-07-02,STORE_041,Jaipur,SKU_072,high,2.56,0.75,2.17,2.95
2023-07-03,STORE_041,Jaipur,SKU_072,high,2.27,0.35,1.22,3.32
2023-07-04,STORE_041,Jaipur,SKU_072,high,2.27,0.51,1.51,3.03
2023-07-05,STORE_041,Jaipur,SKU_072,high,2.27,0.8,2.0,2.54
2023-07-06,STORE_041,Jaipur,SKU_072,high,2.27,0.84,2.07,2.47
2023-07-07,STORE_041,Jaipur,SKU_072,high,2.27,0.6,1.67,2.87
2023-07-01,STORE_012,Delhi,SKU_189,medium,4.9,0.49,3.18,6.62
2023-07-02,STORE_012,Delhi,SKU_189,medium,4.9,0.93,4.82,4.98
2023-07-03,STORE_012,Delhi,SKU_189,medium,3.87,0.66,3.01,4.73
2023-07-04,STORE_012,Delhi,SKU_189,medium,3.87,0.72,3.17,4.57
2023-07-05,STORE_012,Delhi,SKU_189,medium,3.87,0.45,2.37,5.37
2023-07-06,STORE_012,Delhi,SKU_189,medium,3.9,0.51,2.58,5.22
2023-07-07,STORE_012,Delhi,SKU_189,medium,3.9,0.53,2.65,5.15
2023-07-01,STORE_046,Lucknow,SKU_149,very_high,12.23,0.31,6.19,18.27
2023-07-02,STORE_046,Lucknow,SKU_149,very_high,12.22,0.69,9.74,14.7
2023-07-03,STORE_046,Lucknow,SKU_149,very_high,9.27,0.48,5.89,12.65
2023-07-04,STORE_046,Lucknow,SKU_149,very_high,9.27,0.9,8.89,9.65
2023-07-05,STORE_046,Lucknow,SKU_149,very_high,9.27,0.83,8.41,10.13
2023-07-06,STORE_046,Lucknow,SKU_149,very_high,9.35,0.55,6.49,12.21
2023-07-07,STORE_046,Lucknow,SKU_149,very_high,9.35,0.55,6.44,12.26
2023-07-01,STORE_014,Delhi,SKU_070,low,12.57,0.54,8.58,16.56
2023-07-02,STORE_014,Delhi,SKU_070,low,12.56,0.49,8.15,16.97
2023-07-03,STORE_014,Delhi,SKU_070,low,9.61,0.84,8.79,10.43
2023-07-04,STORE_014,Delhi,SKU_070,low,9.61,0.81,8.58,10.64
2023-07-05,STORE_014,Delhi,SKU_070,low,9.61,0.87,9.0,10.22
2023-07-06,STORE_014,Delhi,SKU_070,low,9.67,0.71,7.92,11.42
2023-07-07,STORE_014,Delhi,SKU_070,low,9.67,0.74,8.09,11.25
2023-07-01,STORE_035,Pune,SKU_026,medium,2.16,0.64,1.64,2.68
2023-07-02,STORE_035,Pune,SKU_026,medium,2.16,0.79,1.9,2.42
2023-07-03,STORE_035,Pune,SKU_026,medium,1.9,0.54,1.3,2.5
2023-07-04,STORE_035,Pune,SKU_026,medium,1.9,0.71,1.55,2.25
2023-07-05,STORE_035,Pune,SKU_026,medium,1.9,0.53,1.29,2.51
2023-07-06,STORE_035,Pune,SKU_026,medium,1.89,0.8,1.68,2.1
2023-07-07,STORE_035,Pune,SKU_026,medium,1.89,0.41,1.11,2.67
2023-07-01,STORE_014,Delhi,SKU_088,high,11.44,0.74,9.57,13.31
2023-07-02,STORE_014,Delhi,SKU_088,high,11.42,0.69,9.17,13.67
